rlwrap ../../../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
6656 592 123 166 
6655 592 123 165 
6653 592 122 165 
6653 594 123 165 
6652 594 122 166 
6653 594 122 165 
6652 595 123 164 
6652 597 120 165 
6651 598 123 166 
6651 598 119 165 
6652 598 121 164 
6653 598 121 166 
6652 600 121 165 
6652 600 120 163 
6652 600 119 166 
6651 599 120 165 
6650 600 121 166 
6650 600 123 167 
6650 600 122 167 
6649 600 120 169 
6648 600 123 168 
6650 598 120 168 
6649 599 124 168 
6650 600 124 170 
6650 600 123 170 
6650 600 124 170 
6649 599 124 171 
6649 599 123 172 
6648 600 125 172 
6648 600 124 174 
6648 600 126 176 
6649 600 123 173 
6650 600 127 174 
6650 600 126 175 
6651 600 127 175 
6652 600 127 175 
6651 601 126 176 
6652 602 125 176 
6652 602 130 161 
6651 602 129 161 
6652 602 127 163 
6652 602 127 163 
